word,pleasantness_male,pleasantness_female,pleasantness,imagery_male,imagery_female,imagery,frequency_male,frequency_female,frequency
trust,4.38,4.47,4.43,2.74,3.23,3.02,3.62,4,3.83
truth,4.51,4.56,4.53,2.33,3.14,2.7,3.62,3.97,3.81
tuberculosis,1.65,1.56,1.61,2.38,2.66,2.54,1.72,1.41,1.56
tumor,1.38,1.19,1.29,3.15,3.29,3.23,2.28,2.06,2.16
ugly,1.56,1.67,1.61,3.3,4.11,3.76,3.72,3.97,3.86
ulcer,1.63,1.31,1.47,3.23,3.09,3.15,2.21,2.32,2.27
unfaithful,1.67,1.39,1.54,2.63,3.46,3.10,2.52,3.35,2.97
unhappy,1.68,1.44,1.57,2.93,3.54,3.27,3,3.85,3.46
useless,1.79,1.92,1.85,2.33,2.74,2.56,2.83,3.5,3.1
vacation,4.57,4.67,4.62,4.07,4.54,4.34,3.59,4.18,3.90
valentine,4.44,4.69,4.56,4.15,4.56,4.38,2.03,2.42,2.24
vampire,1.97,1.69,1.84,4.42,4.29,4.34,2,1.53,1.74
vandal,2,1.54,1.78,3.48,3.46,3.47,2.48,2.44,2.46
vanity,2.46,2.42,2.44,2.85,2.94,2.9,1.93,2.32,2.15
vehicle,3.65,3.67,3.66,4.19,4.69,4.47,3.52,3.32,3.41
venom,1.82,1.78,1.8,2.85,3,2.93,1.55,1.45,1.5
victory,4.42,4.31,4.37,3.7,3.71,3.71,3.03,2.85,2.94
village,3.85,3.61,3.74,4.26,4.51,4.4,2.59,2.24,2.4
violent,1.9,1.5,1.71,3.3,3.54,3.44,3.07,3.26,3.18
virtue,3.82,3.94,3.88,2.19,2.57,2.41,2.25,2.44,2.35
vision,4.3,4.14,4.22,3,3.34,3.19,2.97,3.06,3.02
vomit,1.44,1.11,1.2,4.15,4.56,4.38,3,3.03,3.02
war,1.38,1.42,1.39,4.41,4,4.18,3.52,3.09,3.29
warmth,4.45,4.54,4.49,3.5,3.69,3.61,2.9,3.5,3.22
wasp,1.97,1.72,1.85,4.44,4.47,4.46,1.9,1.82,1.85
waste,1.87,1.53,1.71,3.07,3.49,3.31,3.14,3.59,3.38
water,4.13,3.86,4,4.77,4.74,4.75,4.39,4.64,4.52
waterfall,4.18,4.6,4.38,4.81,4.65,4.72,2.14,1.88,2
wealthy,4.38,4.39,4.39,3.59,4.03,3.84,3.52,3.56,3.54
weapon,2.36,1.78,2.0,4.26,4.57,4.44,3.34,2.91,3.11
wedding,4.08,4.72,4.3,4.54,4.66,4.61,2.72,3.26,3.02
whore,2,1.19,1.6,3.89,4.11,4.02,3.21,2.65,2.9
wicked,1.82,1.58,1.7,3.15,3.17,3.16,2.41,2.82,2.63
win,4.42,4.38,4.4,3.33,3.91,3.66,4.07,4.03,4.05
window,3.68,3.44,3.57,4.63,4.74,4.69,3.83,4.09,3.97
wine,3.8,3.97,3.88,4.44,4.71,4.59,3.41,3.79,3.62
wise,4.47,4.25,4.36,2.93,3.17,3.06,3.1,2.94,3.02
woman,4.47,4,4.2,4.74,4.63,4.68,4.31,4.5,4.41
world,3.97,4.08,4.03,4.3,4.29,4.29,3.79,3.91,3.86
