word,pleasantness_male,pleasantness_female,pleasantness,imagery_male,imagery_female,imagery,frequency_male,frequency_female,frequency
mountain,4.16,4.33,4.24,4.73,4.74,4.73,2.9,2.79,2.84
movie,4.21,4.31,4.25,4.33,4.6,4.48,4,4.41,4.22
murderer,1.26,1.33,1.29,3.56,3.69,3.63,3.03,2.97,3
muscular,4.15,4.11,4.13,4.38,4.66,4.54,3.17,3.62,3.41
music,4.23,4.53,4.37,4.33,4.51,4.44,4.24,4.58,4.42
nature,4.23,4.44,4.33,3.85,4.46,4.20,3.07,3.33,3.21
nazi,1.47,1.33,1.41,3.78,3.79,3.78,2.21,1.55,1.8
nectar,3.5,3.51,3.51,2.92,3.43,3.21,1.57,1.85,1.73
nightmare,1.72,1.83,1.78,3.35,3.86,3.64,2.86,3.26,3.08
obesity,1.74,1.44,1.6,4.19,4.32,4.26,2.69,2.79,2.75
ocean,4.31,4.53,4.41,4.68,4.89,4.8,2.9,3,2.95
opinion,3.71,3.5,3.61,2.33,2.6,2.48,3.69,4.21,3.97
orchestra,3.86,3.89,3.88,4.48,4.6,4.55,2.07,2.44,2.27
palace,4.24,4.49,4.36,4.37,4.66,4.53,2.28,1.94,2.1
paper,3.26,3.28,3.27,4.48,4.69,4.6,4.41,4.56,4.49
paradise,4.51,4.78,4.64,4,4.31,4.18,2.69,2.76,2.73
paralysis,1.6,1.42,1.51,3.15,3.77,3.51,1.93,1.88,1.9
party,4.28,4.31,4.29,4.12,4.63,4.41,4.45,4.65,4.56
passion,4.3,4.69,4.4,3.33,3.38,3.36,2.86,3.65,3.2
patent,3.25,2.89,3.08,2.59,3.03,2.84,1.9,2.06,1.98
peace,4.51,4.61,4.56,2.78,3.11,2.97,3.28,3.27,3.27
pencil,3.3,3.22,3.26,4.67,4.88,4.79,4.24,4.56,4.41
perfection,4.38,3.97,4.18,2.81,3.46,3.18,2.82,3.59,3.24
person,3.95,3.83,3.89,4.04,4.63,4.37,4.21,4.32,4.27
pervert,1.92,1.36,1.6,3.37,3.46,3.42,2.79,2.88,2.84
pest,1.95,1.75,1.85,3.04,3.77,3.45,2.41,2.79,2.62
pie,4.02,3.89,3.96,4.42,4.66,4.56,3.25,3.29,3.27
pillow,4.08,4.22,4.15,4.44,4.77,4.63,3.69,3.91,3.81
plant,3.79,3.92,3.85,4.46,4.71,4.61,3.31,3.29,3.3
pleasure,4.47,4.78,4.62,3.22,3.74,3.52,3.59,3.74,3.67
poetry,3.97,4.36,4.16,3.04,3.57,3.34,3,2.82,2.9
poison,1.42,1.36,1.39,3.41,3.71,3.58,2.52,2.21,2.35
politeness,4.31,4.53,4.41,3.19,3.59,3.42,2.72,2.97,2.86
pollute,1.66,1.53,1.59,3.81,3.74,3.77,2.66,2.82,2.75
poverty,1.56,1.42,1.49,3.3,3.79,3.57,2.5,2.79,2.66
power,3.82,3.61,3.72,2.7,3.31,3.05,3.76,3.59,3.67
prairie,3.92,3.83,3.88,3.85,4.43,4.18,1.86,1.5,1.67
pretty,4.56,4.22,4.4,3.41,4.2,3.85,4.03,4.38,4.22
pride,4.31,4.06,4.19,3.07,3.31,3.21,3.1,3.12,3.11
priest,3.85,4.11,3.97,4.41,4.77,4.61,2.38,2.59,2.49
prison,1.45,1.56,1.5,4.56,4.46,4.5,2.86,2.5,2.67
privacy,4.08,4.11,4.09,2.81,3.29,3.08,3.24,4.09,3.70
profit,4.08,4.17,4.12,3.19,3.43,3.32,3.45,3.32,3.38
promotion,4.33,4.42,4.37,3,3.15,3.08,2.69,2.74,2.71
prosperity,4.1,4.17,4.13,3.04,2.83,2.92,2.48,2.29,2.38
punishment,1.82,1.58,1.71,3.22,3.53,3.39,2.86,3.65,3.2
puppy,4.22,4.44,4.33,4.74,4.89,4.82,2.59,3.24,2.94
putrid,2,1.58,1.8,2.26,2.74,2.53,1.82,1.5,1.65
quarrel,1.95,1.97,1.96,3.15,3.49,3.34,2.61,2.59,2.6
rabies,1.3,1.44,1.37,2.81,2.88,2.85,1.79,1.56,1.67
radio,4.03,4.36,4.19,4.63,4.77,4.71,4.1,4.41,4.27
rage,2.02,1.67,1.86,3,3.31,3.18,2.34,2.38,2.37
rainbow,4.44,4.68,4.55,4.65,4.76,4.72,2.45,2.5,2.48
rape,1.2,1.25,1.22,3.73,3.97,3.87,2.93,3.59,3.2
rat,1.77,1.44,1.62,4.62,4.71,4.67,2.59,2.44,2.51
rattle,3.02,2.51,2.79,3.73,4.57,4.21,2.31,2.12,2.21
reformatory,2.05,1.69,1.88,2.96,3.06,3.02,1.57,1.56,1.56
refreshment,4.21,4.31,4.25,3.67,4.23,3.98,3.03,3.44,3.25
rescue,4.22,4.17,4.2,3.56,3.63,3.6,2.31,2.62,2.48
